Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
SIVE,SILVER VERDE MAY MNG CO,Pink No Information,0.035000,-60.8939,"2,000 ",Common Stock,USA,Idaho
SLSR,SILVER SURPRIZE INC,Pink No Information,0.249000,,0 ,Common Stock,USA,Washington
GPIW,GRAND PERFECTA INC,Pink No Information,0.031000,,0 ,Common Stock,USA,Nevada
SILS,SILVER SCOTT MINES INC,Pink No Information,0.110000,-15.3846,"90,820 ",Common Stock,USA,Idaho
SBUM,SILVER BUCKLE MINES,Pink No Information,0.261900,,0 ,Common Stock,USA,Idaho
MCIM,MACAU CAP INVSTS INC NEW,Pink No Information,0.011600,,3 ,Common Stock,USA,Texas
SHLOQ,SHILOH INDUSTRIES INC,Pink No Information,0.136000,-2.2286,"56,926 ",Common Stock,USA,Ohio
LDSI,LIFE DESIGN STA INTL INC,Pink No Information,0.001300,85.7143,"312,500 ",Common Stock,USA,New York
SETO,SETO HOLDINGS INC,Pink No Information,0.025000,-28.5714,100 ,Common Stock,USA,Maryland
SBBG,SEIBELS BRUCE GROUP INC,Pink No Information,"4,500.000000",,0 ,Common Stock,USA,South Carolina
LPTC,LE@P TECH INC A,Pink No Information,0.015000,,0 ,Common Stock,USA,Florida
SHWK,SEAHAWK DP OCEAN TECH,Pink No Information,0.006750,,0 ,Common Stock,USA,Florida
VNTN,VENTURENET CAP GROUP INC,Pink No Information,0.000500,-44.4444,"100,000 ",Common Stock,USA,Nevada
SCPJ,SCOPE INDUSTRIES CALIF,Pink No Information,254.800000,0.7911,2 ,Common Stock,USA,California
LTTC,LATTICE INC,Pink No Information,0.010000,-28.5714,"20,000 ",Common Stock,USA,New Jersey
SSUR,STATSURE DIAGNSTC SY INC,Pink No Information,0.172400,,0 ,Common Stock,USA,New York
ARHN,ARCHON CORP,Pink No Information,12.500000,,0 ,Common Stock,USA,Nevada
SFIN,SAFETEK INTL INC,Pink No Information,0.017000,-15,"257,757 ",Common Stock,USA,Florida
SADL,SADLIER WILLIAM H INC,Pink No Information,29.000000,,0 ,Common Stock,USA,New York
CHCX,CTGX MINING INC,Pink No Information,0.030000,,0 ,Common Stock,USA,Oklahoma
SRSK,STAR STRUCK LTD,Pink No Information,0.064500,,0 ,Common Stock,USA,Connecticut
SDAD,S H RESOURCES&DEVEL CORP,Pink No Information,0.007000,,0 ,Common Stock,USA,California
KIDBQ,KID BRANDS INC,Pink No Information,0.010050,-0.495,"11,396 ",Common Stock,USA,New Jersey
ZONX,ZONZIA MEDIA INC,Pink No Information,0.000600,3.4483,"606,450 ",Common Stock,USA,Nevada
ROWC,ROWE COS,Pink No Information,0.012000,,0 ,Common Stock,USA,Virginia
VRTK,VARTECH SYSTEMS INC,Pink No Information,1.500000,,0 ,Common Stock,USA,Louisiana
WAXS,WORLD ACCESS INC,Pink No Information,0.004100,-50,"189,600 ",Common Stock,USA,Georgia
REOP,REO PLASTICS INC,Pink No Information,24.850000,,0 ,Common Stock,USA,Minnesota
AMXX,MAXX SPORTS TV INC,Pink No Information,4.900000,,0 ,Common Stock,USA,Arizona
RAGL,RA GLOBAL SERVICES INC,Pink No Information,0.002500,,0 ,Common Stock,USA,Texas
RDVA,RDVA INC,Pink No Information,0.051000,,0 ,Common Stock,USA,Virginia
GOGY,GOLDEN GRAIL TECH CORP,Pink No Information,0.011000,0,"218,460 ",Common Stock,USA,Florida
RWCI,RWC INC,Pink No Information,12.300000,,0 ,Common Stock,USA,Michigan
PRXIQ,PREMIER EXHIBITIONS INC,Pink No Information,0.020000,-33.3333,"11,205 ",Common Stock,USA,Georgia
RGUS,REGI US INC,Pink No Information,0.039000,2.6316,"41,100 ",Common Stock,USA,Washington
QUCT,QUEEN CITY INVESTMENT INC,Pink No Information,"1,050.000000",,0 ,Common Stock,USA,California
EVIO,EVIO INC,Pink No Information,0.003880,-7.619,"35,967,232 ",Common Stock,USA,Nevada
QDLC,QUADLOGIC CONTROL CORP,Pink No Information,0.500000,25,"2,330 ",Common Stock,USA,New York
YUMAQ,YUMA ENERGY INC,Pink No Information,0.162500,-38.0952,"11,850 ",Common Stock,USA,Texas
USCS,USCORP,Pink No Information,0.024000,14.2857,"724,878 ",Common Stock,USA,Nevada
WDSL,WIRELESS DATA SLTNS (NV),Pink No Information,0.748000,,0 ,Common Stock,USA,Minnesota
PRAC,PRODUCTIVITY TECHS CORP,Pink No Information,0.112000,,0 ,Common Stock,USA,Michigan
PSWR,PRISM SOFTWARE CORP,Pink No Information,0.004000,,0 ,Common Stock,USA,California
PNBC,PRINCETON NATL BANCORP,Pink No Information,0.015000,87.5,"20,000 ",Common Stock,USA,Illinois
DSUS,DRONE SERVICES USA INC,Pink No Information,0.007700,30.5085,"296,572 ",Common Stock,USA,Washington
PDNLA,PRESIDENTIAL RLTY A,Pink No Information,0.090000,,0 ,Common Stock,USA,New York
PDNLB,PRESIDENTIAL RLTY B,Pink No Information,0.031100,,0 ,Common Stock,USA,New York
AAIIQ,ALABAMA AIRCRAFT INDUS,Pink No Information,0.129000,,0 ,Common Stock,USA,Alabama
POSC,POSITRON CORP,Pink No Information,0.380000,13.4328,"15,223 ",Common Stock,USA,New York
TCOR,TREECON RESOURCES INC,Pink No Information,0.628900,,0 ,Common Stock,USA,Texas
PLYR,POLYMERIC RESOURCES CORP,Pink No Information,64.000000,,1 ,Common Stock,USA,New Jersey
SKTP,SKYTOP LODGE CORP,Pink No Information,635.000000,-11.1888,10 ,Common Stock,USA,Pennsylvania
POGS,PIONEER OIL & GAS,Pink No Information,0.112000,1.8182,"5,000 ",Common Stock,USA,Utah
PLWN,PINELAWN CEMETERY,Pink No Information,578.999900,7.2222,5 ,Common Stock,USA,New York
VCTY,VIDEOLOCITY INTL INC,Pink No Information,0.000400,0,"3,800,000 ",Common Stock,USA,Nevada
NADA,NORTH AMER DATACOM INC,Pink No Information,0.006100,1.6667,"2,000 ",Common Stock,USA,Mississippi
IDEA,INVENT VENTURES INC NEW,Pink No Information,0.055000,-1.7857,"7,050 ",Common Stock,USA,New Jersey
RCTC,READY CREDIT CORP,Pink No Information,0.100000,,0 ,Common Stock,USA,Minnesota
PHGD,PHIL-GOOD PRODUCTS INC,Pink No Information,3.000000,,0 ,Common Stock,USA,Oklahoma
WWHC,W WORLD CORP,Pink No Information,2.760000,0.3636,108 ,Common Stock,USA,New York
